source,poste,periode,valeur,qualite,interpole
insee,00,1996-01,62.81,api_ouverte,False
insee,00,1996-02,63.05,api_ouverte,False
insee,00,1996-03,63.46,api_ouverte,False
insee,00,1996-04,63.53,api_ouverte,False
insee,00,1996-05,63.66,api_ouverte,False
insee,00,1996-06,63.59,api_ouverte,False
insee,00,1996-07,63.47,api_ouverte,False
insee,00,1996-08,63.34,api_ouverte,False
insee,00,1996-09,63.54,api_ouverte,False
insee,00,1996-10,63.71,api_ouverte,False
insee,00,1996-11,63.65,api_ouverte,False
insee,00,1996-12,63.78,api_ouverte,False
insee,00,1997-01,63.92,api_ouverte,False
insee,00,1997-02,64.05,api_ouverte,False
insee,00,1997-03,64.1,api_ouverte,False
insee,00,1997-04,64.12,api_ouverte,False
insee,00,1997-05,64.21,api_ouverte,False
insee,00,1997-06,64.2,api_ouverte,False
insee,00,1997-07,64.12,api_ouverte,False
insee,00,1997-08,64.28,api_ouverte,False
insee,00,1997-09,64.4,api_ouverte,False
insee,00,1997-10,64.37,api_ouverte,False
insee,00,1997-11,64.48,api_ouverte,False
insee,00,1997-12,64.5,api_ouverte,False
insee,00,1998-01,64.3,api_ouverte,False
insee,00,1998-02,64.55,api_ouverte,False
insee,00,1998-03,64.66,api_ouverte,False
insee,00,1998-04,64.78,api_ouverte,False
insee,00,1998-05,64.8,api_ouverte,False
insee,00,1998-06,64.85,api_ouverte,False
insee,00,1998-07,64.63,api_ouverte,False
insee,00,1998-08,64.68,api_ouverte,False
insee,00,1998-09,64.66,api_ouverte,False
insee,00,1998-10,64.62,api_ouverte,False
insee,00,1998-11,64.58,api_ouverte,False
insee,00,1998-12,64.65,api_ouverte,False
insee,00,1999-01,64.46,api_ouverte,False
insee,00,1999-02,64.67,api_ouverte,False
insee,00,1999-03,64.88,api_ouverte,False
insee,00,1999-04,65.06,api_ouverte,False
insee,00,1999-05,65.06,api_ouverte,False
insee,00,1999-06,65.06,api_ouverte,False
insee,00,1999-07,64.89,api_ouverte,False
insee,00,1999-08,64.99,api_ouverte,False
insee,00,1999-09,65.1,api_ouverte,False
insee,00,1999-10,65.15,api_ouverte,False
insee,00,1999-11,65.17,api_ouverte,False
insee,00,1999-12,65.46,api_ouverte,False
insee,00,2000-01,65.46,api_ouverte,False
insee,00,2000-02,65.54,api_ouverte,False
insee,00,2000-03,65.84,api_ouverte,False
insee,00,2000-04,65.84,api_ouverte,False
insee,00,2000-05,65.97,api_ouverte,False
insee,00,2000-06,66.14,api_ouverte,False
insee,00,2000-07,66.03,api_ouverte,False
insee,00,2000-08,66.16,api_ouverte,False
insee,00,2000-09,66.49,api_ouverte,False
insee,00,2000-10,66.42,api_ouverte,False
insee,00,2000-11,66.56,api_ouverte,False
insee,00,2000-12,66.53,api_ouverte,False
insee,00,2001-01,66.25,api_ouverte,False
insee,00,2001-02,66.43,api_ouverte,False
insee,00,2001-03,66.73,api_ouverte,False
insee,00,2001-04,67.05,api_ouverte,False
insee,00,2001-05,67.46,api_ouverte,False
insee,00,2001-06,67.51,api_ouverte,False
insee,00,2001-07,67.37,api_ouverte,False
insee,00,2001-08,67.37,api_ouverte,False
insee,00,2001-09,67.49,api_ouverte,False
insee,00,2001-10,67.53,api_ouverte,False
insee,00,2001-11,67.35,api_ouverte,False
insee,00,2001-12,67.43,api_ouverte,False
insee,00,2002-01,67.75,api_ouverte,False
insee,00,2002-02,67.83,api_ouverte,False
insee,00,2002-03,68.12,api_ouverte,False
insee,00,2002-04,68.38,api_ouverte,False
insee,00,2002-05,68.47,api_ouverte,False
insee,00,2002-06,68.46,api_ouverte,False
insee,00,2002-07,68.45,api_ouverte,False
insee,00,2002-08,68.61,api_ouverte,False
insee,00,2002-09,68.74,api_ouverte,False
insee,00,2002-10,68.84,api_ouverte,False
insee,00,2002-11,68.85,api_ouverte,False
insee,00,2002-12,68.96,api_ouverte,False
insee,00,2003-01,69.09,api_ouverte,False
insee,00,2003-02,69.58,api_ouverte,False
insee,00,2003-03,69.85,api_ouverte,False
insee,00,2003-04,69.75,api_ouverte,False
insee,00,2003-05,69.67,api_ouverte,False
insee,00,2003-06,69.8,api_ouverte,False
